tag,scenario_token,lidar_token,metric,idm,diff,gap
near_long_vehicle,62c85a13b9215ce5,dc7d4b8f18305a09,ego_is_comfortable,1.0,1.0,0.0
near_long_vehicle,62c85a13b9215ce5,dc7d4b8f18305a09,ego_progress_along_expert_route,1.0,0.9472890942901483,0.05271090570985171
near_long_vehicle,62c85a13b9215ce5,dc7d4b8f18305a09,speed_limit_compliance,1.0,1.0,0.0
near_long_vehicle,62c85a13b9215ce5,dc7d4b8f18305a09,time_to_collision_within_bound,1.0,1.0,0.0
near_long_vehicle,62c85a13b9215ce5,dc7d4b8f18305a09,driving_direction_compliance,1.0,1.0,0.0
near_long_vehicle,62c85a13b9215ce5,dc7d4b8f18305a09,no_ego_at_fault_collisions,1.0,1.0,0.0
near_long_vehicle,62c85a13b9215ce5,dc7d4b8f18305a09,ego_is_making_progress,1.0,1.0,0.0
stationary,94d4f56a5e4d528f,bf30cc40cc965a56,ego_is_comfortable,1.0,1.0,0.0
stationary,94d4f56a5e4d528f,bf30cc40cc965a56,ego_progress_along_expert_route,0.6197399045000738,0.9144619731892487,-0.29472206868917494
stationary,94d4f56a5e4d528f,bf30cc40cc965a56,speed_limit_compliance,1.0,1.0,0.0
stationary,94d4f56a5e4d528f,bf30cc40cc965a56,time_to_collision_within_bound,1.0,1.0,0.0
stationary,94d4f56a5e4d528f,bf30cc40cc965a56,driving_direction_compliance,1.0,1.0,0.0
stationary,94d4f56a5e4d528f,bf30cc40cc965a56,no_ego_at_fault_collisions,1.0,1.0,0.0
stationary,94d4f56a5e4d528f,bf30cc40cc965a56,ego_is_making_progress,1.0,1.0,0.0
high_magnitude_speed,d75e9a6dd2ca5262,950a4d601ddb5568,ego_is_comfortable,1.0,1.0,0.0
high_magnitude_speed,d75e9a6dd2ca5262,950a4d601ddb5568,ego_progress_along_expert_route,0.9899700332050702,0.8619695986208529,0.12800043458421728
high_magnitude_speed,d75e9a6dd2ca5262,950a4d601ddb5568,speed_limit_compliance,1.0,1.0,0.0
high_magnitude_speed,d75e9a6dd2ca5262,950a4d601ddb5568,time_to_collision_within_bound,1.0,1.0,0.0
high_magnitude_speed,d75e9a6dd2ca5262,950a4d601ddb5568,driving_direction_compliance,1.0,1.0,0.0
high_magnitude_speed,d75e9a6dd2ca5262,950a4d601ddb5568,no_ego_at_fault_collisions,1.0,1.0,0.0
high_magnitude_speed,d75e9a6dd2ca5262,950a4d601ddb5568,ego_is_making_progress,1.0,1.0,0.0
following_lane_with_slow_lead,786992e6fb185d1b,907f4744f87d53b7,ego_is_comfortable,1.0,1.0,0.0
following_lane_with_slow_lead,786992e6fb185d1b,907f4744f87d53b7,ego_progress_along_expert_route,0.7197753741456275,1.0,-0.28022462585437247
following_lane_with_slow_lead,786992e6fb185d1b,907f4744f87d53b7,speed_limit_compliance,1.0,1.0,0.0
following_lane_with_slow_lead,786992e6fb185d1b,907f4744f87d53b7,time_to_collision_within_bound,1.0,1.0,0.0
following_lane_with_slow_lead,786992e6fb185d1b,907f4744f87d53b7,driving_direction_compliance,1.0,1.0,0.0
following_lane_with_slow_lead,786992e6fb185d1b,907f4744f87d53b7,no_ego_at_fault_collisions,1.0,1.0,0.0
following_lane_with_slow_lead,786992e6fb185d1b,907f4744f87d53b7,ego_is_making_progress,1.0,1.0,0.0
on_intersection,16289c2247ef56b3,c99af34600b45323,ego_is_comfortable,1.0,1.0,0.0
on_intersection,16289c2247ef56b3,c99af34600b45323,ego_progress_along_expert_route,0.8273591119138619,1.0,-0.1726408880861381
on_intersection,16289c2247ef56b3,c99af34600b45323,speed_limit_compliance,1.0,1.0,0.0
on_intersection,16289c2247ef56b3,c99af34600b45323,time_to_collision_within_bound,1.0,1.0,0.0
on_intersection,16289c2247ef56b3,c99af34600b45323,driving_direction_compliance,1.0,1.0,0.0
on_intersection,16289c2247ef56b3,c99af34600b45323,no_ego_at_fault_collisions,1.0,1.0,0.0
on_intersection,16289c2247ef56b3,c99af34600b45323,ego_is_making_progress,1.0,1.0,0.0
medium_magnitude_speed,04475933b4625ede,3ad14bfa73645269,ego_is_comfortable,1.0,1.0,0.0
medium_magnitude_speed,04475933b4625ede,3ad14bfa73645269,ego_progress_along_expert_route,1.0,1.0,0.0
medium_magnitude_speed,04475933b4625ede,3ad14bfa73645269,speed_limit_compliance,1.0,1.0,0.0
medium_magnitude_speed,04475933b4625ede,3ad14bfa73645269,time_to_collision_within_bound,1.0,1.0,0.0
medium_magnitude_speed,04475933b4625ede,3ad14bfa73645269,driving_direction_compliance,1.0,1.0,0.0
medium_magnitude_speed,04475933b4625ede,3ad14bfa73645269,no_ego_at_fault_collisions,1.0,1.0,0.0
medium_magnitude_speed,04475933b4625ede,3ad14bfa73645269,ego_is_making_progress,1.0,1.0,0.0
high_magnitude_speed,ec062bcac2da50d3,15bf2dbe96bb5e5a,ego_is_comfortable,1.0,1.0,0.0
high_magnitude_speed,ec062bcac2da50d3,15bf2dbe96bb5e5a,ego_progress_along_expert_route,1.0,0.9054573867127009,0.09454261328729907
high_magnitude_speed,ec062bcac2da50d3,15bf2dbe96bb5e5a,speed_limit_compliance,1.0,1.0,0.0
high_magnitude_speed,ec062bcac2da50d3,15bf2dbe96bb5e5a,time_to_collision_within_bound,1.0,1.0,0.0
high_magnitude_speed,ec062bcac2da50d3,15bf2dbe96bb5e5a,driving_direction_compliance,1.0,1.0,0.0
high_magnitude_speed,ec062bcac2da50d3,15bf2dbe96bb5e5a,no_ego_at_fault_collisions,1.0,1.0,0.0
high_magnitude_speed,ec062bcac2da50d3,15bf2dbe96bb5e5a,ego_is_making_progress,1.0,1.0,0.0
on_stopline_traffic_light,d68412586f115407,ad7d6dfb305d5371,ego_is_comfortable,1.0,1.0,0.0
on_stopline_traffic_light,d68412586f115407,ad7d6dfb305d5371,ego_progress_along_expert_route,1.0,1.0,0.0
on_stopline_traffic_light,d68412586f115407,ad7d6dfb305d5371,speed_limit_compliance,1.0,1.0,0.0
on_stopline_traffic_light,d68412586f115407,ad7d6dfb305d5371,time_to_collision_within_bound,1.0,1.0,0.0
on_stopline_traffic_light,d68412586f115407,ad7d6dfb305d5371,driving_direction_compliance,1.0,1.0,0.0
on_stopline_traffic_light,d68412586f115407,ad7d6dfb305d5371,no_ego_at_fault_collisions,1.0,1.0,0.0
on_stopline_traffic_light,d68412586f115407,ad7d6dfb305d5371,ego_is_making_progress,1.0,1.0,0.0
on_intersection,6b5e353d48645d46,0c9f888401b552a8,ego_is_comfortable,1.0,1.0,0.0
on_intersection,6b5e353d48645d46,0c9f888401b552a8,ego_progress_along_expert_route,0.8551691737544668,0.883146376330982,-0.02797720257651526
on_intersection,6b5e353d48645d46,0c9f888401b552a8,speed_limit_compliance,1.0,1.0,0.0
on_intersection,6b5e353d48645d46,0c9f888401b552a8,time_to_collision_within_bound,1.0,1.0,0.0
on_intersection,6b5e353d48645d46,0c9f888401b552a8,driving_direction_compliance,1.0,1.0,0.0
on_intersection,6b5e353d48645d46,0c9f888401b552a8,no_ego_at_fault_collisions,1.0,1.0,0.0
on_intersection,6b5e353d48645d46,0c9f888401b552a8,ego_is_making_progress,1.0,1.0,0.0
on_pickup_dropoff,a130a42d7ff15af7,65f1a39588c45244,ego_is_comfortable,1.0,1.0,0.0
on_pickup_dropoff,a130a42d7ff15af7,65f1a39588c45244,ego_progress_along_expert_route,0.8133769503776038,0.763261102047338,0.05011584833026583
on_pickup_dropoff,a130a42d7ff15af7,65f1a39588c45244,speed_limit_compliance,0.95018741224349,0.9099008106212872,0.04028660162220277
on_pickup_dropoff,a130a42d7ff15af7,65f1a39588c45244,time_to_collision_within_bound,1.0,0.0,1.0
on_pickup_dropoff,a130a42d7ff15af7,65f1a39588c45244,driving_direction_compliance,1.0,1.0,0.0
on_pickup_dropoff,a130a42d7ff15af7,65f1a39588c45244,no_ego_at_fault_collisions,1.0,1.0,0.0
on_pickup_dropoff,a130a42d7ff15af7,65f1a39588c45244,ego_is_making_progress,1.0,1.0,0.0
medium_magnitude_speed,0ffdeabd39a457af,4f6742d07ae258f5,ego_is_comfortable,1.0,1.0,0.0
medium_magnitude_speed,0ffdeabd39a457af,4f6742d07ae258f5,ego_progress_along_expert_route,1.0,0.9871050165827573,0.012894983417242711
medium_magnitude_speed,0ffdeabd39a457af,4f6742d07ae258f5,speed_limit_compliance,0.4126923407454023,0.8588447609229553,-0.44615242017755297
medium_magnitude_speed,0ffdeabd39a457af,4f6742d07ae258f5,time_to_collision_within_bound,1.0,0.0,1.0
